benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output
JoinOrder,EquiHeightHistogram,10a,0,JoinHashRight,4,265,4.000000,96.978668
JoinOrder,EquiHeightHistogram,10a,1,JoinHashLeft,2528312,130,2528312.000000,96.978668
JoinOrder,EquiHeightHistogram,10a,2,JoinHashLeft,3140339,200,3140339.000000,1016.270325
JoinOrder,EquiHeightHistogram,10a,3,TableScan,12,1,12.000000,1.000000
JoinOrder,EquiHeightHistogram,10a,4,JoinHashLeft,2609129,8790,2609129.000000,15110.976562
JoinOrder,EquiHeightHistogram,10a,5,JoinHashLeft,36244344,310325,36244344.000000,240042.687500
JoinOrder,EquiHeightHistogram,10a,6,TableScan,234997,1361,234997.000000,1361.000000
JoinOrder,EquiHeightHistogram,10b,0,JoinHashRight,4,0,4.000000,300.600067
JoinOrder,EquiHeightHistogram,10b,1,JoinHashLeft,3140339,0,3140339.000000,1525.675171
JoinOrder,EquiHeightHistogram,10b,2,TableScan,12,1,12.000000,1.000000
JoinOrder,EquiHeightHistogram,10b,3,JoinHashLeft,36244344,36999,36244344.000000,37185.480469
JoinOrder,EquiHeightHistogram,10b,4,JoinHashLeft,2609129,8790,2609129.000000,15110.976562
JoinOrder,EquiHeightHistogram,10b,5,JoinHashLeft,2528312,6045,2528312.000000,15110.986328
JoinOrder,EquiHeightHistogram,10b,6,TableScan,234997,1361,234997.000000,1361.000000
JoinOrder,EquiHeightHistogram,10c,0,TableScan,2528312,1749032,2528312.000000,1749032.000000
JoinOrder,EquiHeightHistogram,10c,1,JoinHashRight,12,1210267,12.000000,1496388.125000
JoinOrder,EquiHeightHistogram,10c,2,JoinHashLeft,3140339,1,3140339.000000,518365.125000
JoinOrder,EquiHeightHistogram,10c,3,JoinHashRight,4,1210267,4.000000,1496388.000000
JoinOrder,EquiHeightHistogram,10c,4,TableScan,36244344,1435439,36244344.000000,3624434.500000
JoinOrder,EquiHeightHistogram,10c,5,JoinHashLeft,2609129,1153798,2609129.000000,941994.312500
JoinOrder,EquiHeightHistogram,10c,6,TableScan,234997,84843,234997.000000,84843.000000
JoinOrder,EquiHeightHistogram,11a,0,JoinHashLeft,234997,32,234997.000000,0.122670
JoinOrder,EquiHeightHistogram,11a,1,JoinHashLeft,2528312,26,2528312.000000,0.243757
JoinOrder,EquiHeightHistogram,11a,2,TableScan,18,2,18.000000,1.800000
JoinOrder,EquiHeightHistogram,11a,3,JoinHashLeft,2609129,132,2609129.000000,1.553713
JoinOrder,EquiHeightHistogram,11a,4,JoinHashLeft,29997,250,29997.000000,3.254415
JoinOrder,EquiHeightHistogram,11a,5,JoinHashLeft,4523930,10544,4523930.000000,33.717941
JoinOrder,EquiHeightHistogram,11a,6,TableScan,4,1,4.000000,1.000000
JoinOrder,EquiHeightHistogram,11a,7,TableScan,134170,1,134170.000000,1.000000
JoinOrder,EquiHeightHistogram,11b,0,JoinHashLeft,234997,3,234997.000000,0.139732
JoinOrder,EquiHeightHistogram,11b,1,JoinHashLeft,2528312,22,2528312.000000,0.243757
JoinOrder,EquiHeightHistogram,11b,2,TableScan,18,1,18.000000,1.800000
JoinOrder,EquiHeightHistogram,11b,3,JoinHashLeft,2609129,118,2609129.000000,1.553713
JoinOrder,EquiHeightHistogram,11b,4,JoinHashLeft,29997,250,29997.000000,3.254415
JoinOrder,EquiHeightHistogram,11b,5,JoinHashLeft,4523930,10544,4523930.000000,33.717941
JoinOrder,EquiHeightHistogram,11b,6,TableScan,4,1,4.000000,1.000000
JoinOrder,EquiHeightHistogram,11b,7,TableScan,134170,1,134170.000000,1.000000
JoinOrder,EquiHeightHistogram,11c,0,JoinHashRight,18,14916,18.000000,3.200462
JoinOrder,EquiHeightHistogram,11c,1,TableScan,4,3,4.000000,3.000000
JoinOrder,EquiHeightHistogram,11c,2,JoinHashLeft,234997,249,234997.000000,0.720343
JoinOrder,EquiHeightHistogram,11c,3,JoinHashLeft,2609129,902,2609129.000000,1.405587
JoinOrder,EquiHeightHistogram,11c,4,JoinHashLeft,2528312,181,2528312.000000,0.708732
JoinOrder,EquiHeightHistogram,11c,5,JoinHashLeft,29997,1414,29997.000000,3.254415
JoinOrder,EquiHeightHistogram,11c,6,JoinHashLeft,4523930,47403,4523930.000000,33.717941
JoinOrder,EquiHeightHistogram,11c,7,TableScan,134170,1,134170.000000,1.000000
JoinOrder,EquiHeightHistogram,11c,8,TableScan,134170,1,134170.000000,1.000000
JoinOrder,EquiHeightHistogram,11c,9,TableScan,134170,1,134170.000000,1.000000
JoinOrder,EquiHeightHistogram,11d,0,JoinHashRight,18,14916,18.000000,3.200462
JoinOrder,EquiHeightHistogram,11d,1,JoinHashLeft,234997,249,234997.000000,0.720343
JoinOrder,EquiHeightHistogram,11d,2,TableScan,4,3,4.000000,3.000000
JoinOrder,EquiHeightHistogram,11d,3,JoinHashLeft,2609129,902,2609129.000000,1.405587
JoinOrder,EquiHeightHistogram,11d,4,JoinHashLeft,2528312,181,2528312.000000,0.708732
JoinOrder,EquiHeightHistogram,11d,5,JoinHashLeft,29997,1414,29997.000000,3.254415
JoinOrder,EquiHeightHistogram,11d,6,JoinHashLeft,4523930,47403,4523930.000000,33.717941
JoinOrder,EquiHeightHistogram,11d,7,TableScan,134170,1,134170.000000,1.000000
JoinOrder,EquiHeightHistogram,11d,8,TableScan,134170,1,134170.000000,1.000000
JoinOrder,EquiHeightHistogram,11d,9,TableScan,134170,1,134170.000000,1.000000
JoinOrder,EquiHeightHistogram,12a,0,JoinHashLeft,2528312,1439,2528312.000000,0.603002
JoinOrder,EquiHeightHistogram,12a,1,JoinHashLeft,234997,1954,234997.000000,0.603002
JoinOrder,EquiHeightHistogram,12a,2,JoinHashLeft,2609129,10579,2609129.000000,2.483671
JoinOrder,EquiHeightHistogram,12a,3,TableScan,4,1,4.000000,1.000000
JoinOrder,EquiHeightHistogram,12a,4,JoinHashLeft,1380035,459925,1380035.000000,12212.704102
JoinOrder,EquiHeightHistogram,12a,5,JoinHashLeft,14835720,381973,14835720.000000,4981.421875
JoinOrder,EquiHeightHistogram,12a,6,TableScan,113,1,113.000000,1.000000
JoinOrder,EquiHeightHistogram,12a,7,TableScan,113,1,113.000000,1.000000
JoinOrder,EquiHeightHistogram,12b,0,JoinHashLeft,234997,22,234997.000000,28.302263
JoinOrder,EquiHeightHistogram,12b,1,JoinHashLeft,2609129,33,2609129.000000,118.595840
JoinOrder,EquiHeightHistogram,12b,2,TableScan,4,1,4.000000,1.000000
JoinOrder,EquiHeightHistogram,12b,3,TableScan,4,1,4.000000,1.000000
JoinOrder,EquiHeightHistogram,12b,4,JoinHashLeft,1380035,10,1380035.000000,12212.704102
JoinOrder,EquiHeightHistogram,12b,5,JoinHashLeft,14835720,581,14835720.000000,98751.625000
JoinOrder,EquiHeightHistogram,12b,6,JoinHashLeft,2528312,4,1872962.000000,873.916260
JoinOrder,EquiHeightHistogram,12b,7,TableScan,113,1,113.000000,1.000000
JoinOrder,EquiHeightHistogram,12b,8,TableScan,113,1,113.000000,1.000000
JoinOrder,EquiHeightHistogram,12c,0,JoinHashLeft,234997,8449,234997.000000,1.214527
JoinOrder,EquiHeightHistogram,12c,1,JoinHashLeft,2528312,18256,2528312.000000,3.019436
JoinOrder,EquiHeightHistogram,12c,2,JoinHashLeft,2609129,117966,2609129.000000,12.436592
JoinOrder,EquiHeightHistogram,12c,3,TableScan,4,1,4.000000,1.000000
JoinOrder,EquiHeightHistogram,12c,4,JoinHashLeft,1380035,459925,1380035.000000,12212.704102
JoinOrder,EquiHeightHistogram,12c,5,JoinHashLeft,14835720,2047931,14835720.000000,13799.050781
JoinOrder,EquiHeightHistogram,12c,6,TableScan,113,1,113.000000,1.000000
JoinOrder,EquiHeightHistogram,12c,7,TableScan,113,1,113.000000,1.000000
JoinOrder,EquiHeightHistogram,13a,0,JoinHashLeft,14835720,312596,14835720.000000,346.604950
JoinOrder,EquiHeightHistogram,13a,1,TableScan,113,1,113.000000,1.000000
JoinOrder,EquiHeightHistogram,13a,2,JoinHashLeft,234997,93495,234997.000000,948.479187
JoinOrder,EquiHeightHistogram,13a,3,JoinHashLeft,2609129,773084,2609129.000000,4185.955078
JoinOrder,EquiHeightHistogram,13a,4,JoinHashLeft,1380035,459925,1380035.000000,12212.704102
JoinOrder,EquiHeightHistogram,13a,5,TableScan,4,1,4.000000,1.000000
JoinOrder,EquiHeightHistogram,13a,6,JoinHashLeft,2528312,459925,2528312.000000,12212.708008
JoinOrder,EquiHeightHistogram,13a,7,TableScan,7,1,7.000000,1.000000
JoinOrder,EquiHeightHistogram,13a,8,TableScan,113,1,113.000000,1.000000
JoinOrder,EquiHeightHistogram,13b,0,JoinHashLeft,14835720,967,14835720.000000,300.839050
JoinOrder,EquiHeightHistogram,13b,1,TableScan,113,1,113.000000,1.000000
